Username,End-of-Line Indicator
#amahala2,#
#bgoodwi3,#
#clay,#
#ddaggs2,#
#dtomlin,#
#jmorrow1,#
#jpham,#
#jwill132,#
#mtemple3,#
#nbarnes4,#
#nnelson1,#
#nsguinn,#
#tslagle4,#
